Reference,debt_id,ultima_atualizacao,pago_banco_plano_liq,divida_bravo,negociador,pago_a_banco_atualizado,diferenca_plano_liq,diferenca_divida_bravo,atualizado_por,instituicao_divida,start_date,status_divida,creditor,product_type,observacao,classificação
BR0011229,1796798,,10031.1,34556,giulia.filardi@gobravo.com.br,,,,,Caixa,2024-02-01,new,,,,batch1
BR0000218,924776,,286.71,462.9,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924777,,5663.64,9481.8,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924778,,6881.75,12496.82,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924779,,5939.28,13117.88,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924780,,5257.63,13410.01,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924781,,4471.52,13410.01,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924782,,4864.72,15424.97,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0000218,924783,,5649.14,28245.69,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000218,924784,,35822.78,179113.92,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0000944,1000475,,4108.19,13026.16,,,,,,Banco do Brasil,,new,,Crédito pessoal,,gap5
BR0001012,1009722,,6400.19,20293.58,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Santander,2022-08-31,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,gap5
BR0001723,1061477,,2204.39,5934,beatriz.moraes@gobravo.com.br,,,,,Crefisa,2022-11-30,new,,Crédito pessoal,,batch1
BR0002184,1081069,,765.91,971.59,mariana.melo@gobravo.com.br,,,,deise@gobravo.com.br,Carrefour,2022-12-12,paid_outside_of_program,Otro,Cartão de crédito,Marcada por el END con correo deise@gobravo.com.br,gap5
BR0002401,1089483,,1590.09,9885.95,rodrigo.pereira@gobravo.com.br,,,,vinicius.hidalgo@gobravo.com.br,C6,2022-12-26,client_settled_outside,Bellinati Perez,Cartão de crédito,Marcada por el END con correo vinicius.hidalgo@gobravo.com.br,batch1
BR0003228,1142121,,608.37,1535.48,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Original,2023-02-24,client_settled_outside,Próprio Credor,Serviços básicos,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0003302,1151443,,15028.07,28550.24,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Itaú,2023-03-07,paid,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,gap5
BR0003302,1151444,,11344.95,34067.4,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Itaú,2023-03-07,paid,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,gap5
